Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2013,11.605,3.646
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2014,20.184,3.756
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2015,24.428,4.215
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2016,21.553,7.066
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2017,45.124,15.387
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2018,132.967,31.43
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2019,224.773,50.394
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2020,434.598,121.75
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2021,654.161,98.042
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2022,516.087,117.65
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2023,,125.357
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2005,0.127,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2006,10.895,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2007,55.932,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2008,210.756,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2009,236.624,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2010,397.135,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2011,394.419,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2012,471.707,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2013,500.471,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2014,694.757,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2015,643.337,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2016,294.455,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2017,283.15,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2018,390.576,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2019,432.253,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2020,554.714,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2021,705.542,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2022,428.532,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Advanced biodiesel,On-grid electricity,2023,,0.32
Brazil,Total Renewable,Bioenergy,Liquid biofuels,Biodiesel,All types,2006,,
